2500;Block Boats and Lures;629 Kincaid Ave.;5;7;06/03/00 11:33;1990-07-26;27976.4940;51178.5515;14430;211;67537.6905;9.806624E+6;345329388.0
2501;Kermit the Pet Shop;456 Groverland Ave.;1;38;09/02/01 07:35;2002-05-04;37400.8494;84810.8741;5631;132;71157.2177;226270.0;539806984.0
2502;Innman Paint and Glass;2644 Princeton Ln.;12;22;09/12/00 03:07;1982-06-29;29053.4304;91022.0935;25804;144;59514.7500;3.528212E+6;407219418.0
2503;Peterson Roberts Carpentry;886 Yale Lane;41;28;03/07/92 06:33;2005-08-06;12420.0020;61840.5974;22841;181;75872.5794;3.637505E+6;35281290.0
2504;Green Shoes Corp.;4763 Blackhawk Rd.;13;19;05/12/95 09:33;1971-09-05;29208.0368;82307.5500;25420;144;93590.4874;2.823976E+6;586303530.0
2505;Marcy Elaine Bakery;899 Harvard Ct;40;47;04/11/77 02:53;2005-05-30;57962.2170;1068.3926;3870;122;78789.1350;8.143786E+6;496468416.0
2506;Nirabi Auto Service;1270 Linden Ave.;16;8;06/04/01 11:48;1986-11-18;22183.7312;95190.7231;24553;240;20542.0875;799095.0;427573908.0
2507;Air Mexico;662 Lyons Circle;32;28;01/02/05 06:00;2003-08-05;4796.1696;42400.7736;29066;20;2680.1620;5.816572E+6;17057838.0
2508;Air Indonesia;1831 Beverly Place #9D;19;37;06/06/04 09:00;2000-10-29;63540.6832;66248.4460;31476;57;82526.4570;6.27087E+6;81668048.0
2509;American Apartments;1155 Ridgewood Drive;7;5;05/06/83 11:13;2006-08-30;10926.4224;19380.4626;21019;87;66980.8625;4.77958E+6;188803528.0
2510;Ebert Music Center;1875 Roger Williams Ave.;12;1;02/02/97 04:13;1996-04-21;27351.3443;30619.2743;14867;54;58260.4250;9.248827E+6;75635392.0
2511;Ernie's Foriegn Car Service;581 Hill St. Apt. 234;47;12;02/09/76 12:48;1983-04-28;52125.4288;59751.7316;2608;8;85850.0080;3.05397E+6;861804090.0
2512;Lambert & Locke Legal Services;1185 County line Rd.;33;41;05/09/01 01:40;1980-12-11;63490.9424;64344.2240;21193;192;25320.2312;7.569696E+6;11858352.0
2513;Ampro Office Team Ltd.;425 Lake Ave.;45;13;04/10/72 03:15;2005-02-26;52930.7588;13280.1316;24069;103;67720.6336;3.922704E+6;379820164.0
2514;Kapp Camera and Video;12 Skokie Valley Rd.;10;40;03/12/04 05:48;2000-12-16;33691.4160;78790.3696;29485;204;67850.3586;4.197725E+6;1565946.0
2515;Block Boats and Lures;770 Exmoor Rd.;26;16;05/03/95 05:48;1974-09-23;330.0290;98652.0484;19201;200;32314.7278;6.540211E+6;474313392.0
2516;Dean Grant Buick and Crysler;1907 S. Prospect Ave.;24;32;05/02/82 07:20;2000-05-16;38412.0976;79536.4600;434;136;99624.4896;2.18093E+6;335990716.0
2517;Marks, Marks, and Kaplan Ltd.;406 Trinity Ct.;8;19;04/07/03 11:28;1990-09-18;960.7786;72038.7581;31261;23;31496.1936;6.282895E+6;138160730.0
2518;Nyman Interior Design;899 Harvard Ct;39;7;03/10/87 03:42;1975-11-11;89492.6504;42560.1924;4932;4;22080.2462;6.785248E+6;11206283.0
2519;Elle Hypnosis and Therapy Cent;965 Marion Place Apt. 65C;10;12;05/03/07 12:53;2000-11-12;5892.2744;31432.9484;26211;232;8800.9910;7.508064E+6;174150186.0
2520;Keyth Contracting and Repair;54 Lakeview Terrace;15;47;10/04/06 11:42;1974-09-24;26628.1914;97494.4275;17370;159;67035.2790;8.539632E+6;54327647.0
2521;Corbins, Rodriguez, & Savocchi;3100 Trailer Way;16;33;11/08/86 04:47;1983-01-17;4650.6150;60615.3327;5995;241;94456.1790;7.821306E+6;558610382.0
2522;Loyal Order of Buffalo;115 Pleasent Ave.;43;45;03/07/80 12:08;1993-06-07;97280.2678;68528.5536;27439;176;22600.6095;5.124736E+6;337584800.0
2523;Palmer Golf Supplies;511 Hill;49;10;10/04/00 11:35;1993-01-15;55624.1440;87595.2976;5061;192;39703.7500;9.681501E+6;38567906.0
2524;First National Bank of Ottowa;54 Lakeview Terrace;44;26;03/07/01 11:55;1986-07-27;43928.0458;89705.4600;24780;140;58304.7715;7.17626E+6;225711096.0
